104.160.181.73,12571654
5.245.227.47,6807251
180.97.161.17,5991577
183.6.227.4,5892902
183.2.242.88,5802651
182.254.229.100,5522566
121.42.144.99,5238333
162.159.210.87,4922288
23.234.37.232,4752251
14.29.54.98,4747764
101.231.200.10,4619775
183.2.247.28,4499673
103.254.28.27,4474443
162.159.211.87,4141576
218.60.112.182,3588341
115.231.26.7,3529417
14.17.92.112,3359914
86.100.255.204,3270701
183.245.146.226,3249245
119.29.16.249,3159979
218.75.17.198,3099248
14.29.54.120,3079594
124.158.10.244,2997079
139.129.57.222,2949552
43.230.113.119,2619587
45.32.89.232,2454956
61.160.211.209,2418643
68.98.168.205,2345434
114.55.32.174,2274358
183.60.111.104,2244047
120.55.238.231,2211256
104.201.9.12,2191985
61.160.211.81,2159580
119.10.36.201,2123583
115.159.71.149,2045926
135.84.243.82,1998578
82.221.105.229,1919711
36.249.123.145,1919211
14.17.64.194,1903881
58.218.211.43,1887732
77.66.48.69,1851817
114.55.54.253,1836606
61.160.247.52,1798371
90.104.17.3,1755838
120.55.239.70,1746056
61.139.175.76,1717858
107.183.253.14,1705200
107.183.253.15,1696854
47.90.2.34,1687372
74.209.215.5,1675123
59.53.63.20,1667991
107.183.253.7,1667670
220.170.89.143,1663417
115.28.69.205,1646861
101.201.179.234,1644796
121.42.183.168,1643145
120.55.205.250,1638522
45.55.110.124,1638254
121.12.117.11,1604536
114.215.198.90,1585601
113.31.27.106,1578554
103.37.45.151,1533288
223.252.207.50,1526742
113.113.120.18,1481181
124.129.3.122,1470592
120.24.187.194,1465329
221.215.168.106,1464937
218.11.0.169,1448479
47.90.18.98,1435230
5.245.233.229,1415738
103.37.45.108,1398818
120.76.56.127,1394974
47.89.38.233,1368043
104.224.138.34,1350548
101.201.246.69,1329823
60.209.235.182,1327895
223.99.9.107,1305528
115.159.27.57,1279523
82.43.40.174,1278944
68.253.147.155,1255101
183.61.254.83,1250321
61.160.207.33,1234266
183.61.254.69,1202443
23.234.17.36,1201054
219.151.35.59,1196298
61.147.247.224,1195198
104.202.87.231,1190362
5.245.230.105,1181587
92.89.132.219,1175775
103.224.81.138,1175313
115.236.113.10,1174978
5.245.228.145,1173547
180.97.164.186,1155187
61.153.104.2,1154367
23.234.17.34,1152780
211.149.254.184,1116484
183.60.227.99,1105513
114.55.79.245,1092620
109.230.227.8,1090390
124.192.196.192,1037183
