101.231.200.10,28296632
103.254.28.41,11678498
115.182.75.88,11581127
103.254.28.36,9705989
115.182.75.90,9339175
103.254.28.19,7130130
120.25.65.55,4019110
149.126.77.177,3970897
123.57.165.189,2783047
61.178.165.16,2508442
31.3.227.111,2344750
23.252.166.54,2340506
139.129.42.107,2237959
135.84.243.82,2130798
58.57.181.182,1876888
118.193.218.11,1855485
125.88.182.217,1746267
61.160.222.120,1726380
115.28.113.78,1691630
139.129.198.246,1546469
88.190.194.123,1428414
14.29.49.16,1359528
14.29.54.98,1297949
90.104.17.3,1276822
103.254.28.25,1268086
103.242.144.30,1230351
121.42.8.172,1170873
42.96.165.215,1137518
106.187.46.248,1120959
205.209.129.71,1075819
43.230.113.119,1047229
120.55.235.34,1018393
222.47.59.75,950337
180.97.161.17,942946
103.242.145.88,942323
103.31.221.57,934538
221.229.160.221,826893
93.6.152.40,807474
46.236.43.52,781794
190.106.136.10,776466
121.41.37.189,735767
73.135.52.31,701795
68.32.199.123,699452
115.239.248.80,686797
117.34.14.176,673656
125.77.25.229,661387
125.77.25.231,657671
114.215.138.81,625996
222.47.74.197,625243
27.98.198.203,624738
139.129.20.156,624467
78.235.177.89,611645
188.119.151.65,608379
68.235.101.128,600294
183.131.85.62,586707
45.35.101.217,575597
125.88.146.156,562747
43.241.50.200,560744
183.60.106.75,557990
183.2.193.27,540153
24.0.179.1,530842
213.22.99.111,522056
73.54.237.195,505365
203.170.49.148,502136
190.15.62.244,486179
124.248.244.5,485450
78.246.199.25,480844
103.36.208.98,472713
194.28.164.1,470528
222.47.74.225,462813
78.121.68.92,461089
183.61.243.76,457431
78.202.228.159,451674
91.236.116.117,439743
60.164.165.215,437195
96.241.163.239,437133
177.20.246.1,436201
188.212.107.90,432142
188.212.107.98,426686
109.29.244.235,426615
121.40.42.198,426210
83.78.199.122,421310
116.31.119.232,415921
115.238.246.176,412823
90.48.220.5,403978
120.37.140.252,398561
183.61.180.228,392088
115.28.172.135,387102
46.52.91.161,386547
210.140.71.72,382274
144.64.26.84,380839
114.55.117.119,379121
23.252.165.25,376174
188.44.64.112,372795
122.59.176.97,369510
178.32.58.46,368211
27.50.2.242,366275
180.97.162.3,361948
123.184.19.48,355165
121.42.191.2,355054
