2016-07-21,139.129.42.107,814753
2016-07-21,115.182.75.90,667170
2016-07-21,101.231.200.10,665313
2016-07-21,115.182.75.88,662443
2016-07-21,190.106.136.10,472414
2016-07-21,222.47.59.75,452376
2016-07-21,125.88.146.156,362645
2016-07-21,194.28.164.1,208496
2016-07-21,112.201.19.214,187495
2016-07-21,120.27.99.210,160894
2016-07-21,120.25.65.55,126992
2016-07-21,115.28.113.78,122761
2016-07-21,216.14.159.133,56230
2016-07-21,183.2.247.10,55003
2016-07-21,72.185.83.241,54910
2016-07-21,174.92.108.148,54657
2016-07-21,202.102.85.73,52657
2016-07-21,180.97.161.86,52490
2016-07-21,103.250.251.168,45903
2016-07-21,109.219.226.196,43246
2016-07-21,139.129.20.156,42949
2016-07-21,180.97.162.79,42772
2016-07-21,115.159.96.247,41267
2016-07-21,23.234.34.17,40147
2016-07-21,51.255.93.101,34621
