2016-04-30,162.159.209.88,858002
2016-04-30,103.17.41.189,565392
2016-04-30,183.60.135.161,471391
2016-04-30,98.226.189.238,382549
2016-04-30,94.209.242.222,265460
2016-04-30,121.14.154.18,169876
2016-04-30,192.126.118.186,144685
2016-04-30,162.159.208.103,128232
2016-04-30,83.25.197.236,122741
2016-04-30,93.186.194.200,122489
2016-04-30,95.154.113.68,121780
2016-04-30,218.92.147.90,119678
2016-04-30,96.20.16.22,114267
2016-04-30,64.118.119.208,104639
2016-04-30,108.162.192.8,102558
2016-04-30,89.36.210.204,98036
2016-04-30,89.43.62.65,95800
2016-04-30,123.31.12.17,92528
2016-04-30,69.176.94.45,90797
2016-04-30,37.189.80.37,88080
2016-04-30,193.254.246.131,87695
2016-04-30,80.162.102.82,87324
2016-04-30,202.83.209.194,87206
2016-04-30,104.24.126.113,81052
2016-04-30,140.128.98.241,80323
